      ,Contrast,Brightness,Saturation,Hue,Repeated Colors
Images/cats\cat_123,0.7977890118460366,0.27218600784313723,0.1983779450980392,0.1864222745098039,"[(16, 16, 18), (17, 17, 19), (18, 18, 20), (15, 15, 17), (19, 19, 21)]"
Images/cats\cat_124,0.23330982580564566,0.6885904156862744,0.044369741176470585,0.2599656941176471,"[(205, 206, 210), (202, 206, 207), (201, 205, 206), (200, 204, 205), (206, 207, 211)]"
Images/cats\cat_125,0.3087463253522463,0.6052821960784314,0.2145708862745098,0.23268901960784313,"[(187, 187, 197), (188, 188, 198), (189, 189, 199), (191, 192, 197), (186, 186, 196)]"
Images/cats\cat_126,0.4061637847589389,0.5757176156862744,0.17030884705882354,0.2844744784313726,"[(201, 202, 207), (200, 201, 206), (197, 200, 205), (196, 199, 204), (198, 201, 206)]"
Images/cats\cat_127,0.4769978111977265,0.5111275607843137,0.23998241568627451,0.23814506666666665,"[(216, 217, 219), (215, 216, 218), (207, 211, 214), (217, 218, 220), (206, 210, 213)]"
Images/cats\cat_128,0.576435613344587,0.4338480156862745,0.30415419607843136,0.22734803137254903,"[(9, 29, 17), (8, 28, 16), (7, 27, 15), (30, 59, 37), (32, 55, 35)]"
Images/cats\cat_129,0.5052394232806156,0.384789662745098,0.24109301960784313,0.25235480784313724,"[(203, 221, 225), (202, 220, 224), (201, 219, 223), (200, 218, 222), (207, 222, 227)]"
Images/cats\cat_130,0.5378053718581296,0.46931460392156865,0.3334861490196078,0.1837764705882353,"[(170, 199, 168), (169, 198, 167), (171, 200, 169), (168, 197, 166), (167, 196, 165)]"
Images/cats\cat_131,0.6165244627836645,0.3739378039215686,0.291492831372549,0.18363979607843137,"[(0, 0, 0), (166, 152, 143), (248, 246, 247), (0, 1, 0), (2, 2, 2)]"
Images/cats\cat_132,0.832846733011569,0.2818177098039215,0.0,0.0,"[(28, 28, 28), (27, 27, 27), (1, 1, 1), (33, 33, 33), (29, 29, 29)]"
Images/cats\cat_133,0.6267565143732132,0.35302177254901956,0.4511369568627451,0.33036169411764704,"[(0, 0, 0), (1, 0, 0), (0, 0, 2), (1, 1, 1), (2, 0, 1)]"
Images/cats\cat_134,0.7604194910024132,0.2520805647058823,0.4803114823529412,0.34828972549019604,"[(0, 0, 0), (1, 0, 0), (1, 1, 1), (13, 8, 4), (15, 10, 6)]"
Images/cats\cat_135,0.4592555468052205,0.44061532549019605,0.36656768627450975,0.1639737725490196,"[(166, 165, 170), (169, 168, 173), (164, 163, 169), (167, 166, 172), (163, 162, 167)]"
Images/cats\cat_136,0.60935600901565,0.3970106823529412,0.3526676549019608,0.1640902117647059,"[(227, 227, 227), (228, 228, 228), (226, 228, 227), (226, 226, 226), (228, 226, 227)]"
Images/cats\cat_137,0.16925221849444583,0.7598306509803922,0.06670247843137254,0.26936250980392157,"[(204, 210, 206), (206, 212, 208), (208, 214, 210), (203, 209, 205), (205, 211, 207)]"
Images/cats\cat_138,0.7467907409187942,0.26416293333333335,0.3981043294117647,0.3172498039215686,"[(14, 28, 29), (13, 27, 28), (15, 31, 31), (16, 30, 31), (6, 11, 14)]"
Images/cats\cat_139,0.9727626777680332,0.21629465098039216,0.23925242352941176,0.24395044705882352,"[(8, 9, 11), (9, 9, 11), (13, 13, 15), (12, 12, 14), (7, 8, 10)]"
Images/cats\cat_140,0.7917603045873183,0.3661067294117647,0.29963943529411763,0.18284425098039217,"[(26, 26, 28), (19, 24, 28), (33, 34, 36), (23, 24, 29), (27, 27, 29)]"
Images/cats\cat_141,0.3190524788729324,0.5785557333333333,0.23566569411764707,0.26113709803921564,"[(137, 131, 135), (139, 133, 137), (138, 132, 136), (136, 130, 134), (156, 151, 155)]"
Images/cats\cat_142,0.6243582726597141,0.49241127843137256,0.0,0.0,"[(54, 54, 54), (56, 56, 56), (57, 57, 57), (55, 55, 55), (53, 53, 53)]"
Images/cats\cat_143,0.9302749739478438,0.2476635294117647,0.5915895843137255,0.2605454901960784,"[(0, 22, 30), (1, 21, 28), (1, 21, 30), (2, 22, 29), (0, 23, 31)]"
